"species","chla_supply","year","abundance_krill","mean_length_krill","sum_eggs_krill","max_chla_density","median_abundance_salp_overall","max_abundance_salp_season"
"both","Const",1,26.1215659340659,15.4937225274725,0,0.728998467460778,285.425,3284.525
"krill","Const",1,26.3877747252747,15.4942307692308,0,0.728998467460778,0,0
"both","Lognorm",1,25.7473214285714,15.6771153846154,0,1.27464693842698,286.2,16712.175
"krill","Lognorm",1,25.8660027472527,15.6775583791209,0,1.27464693842698,0,0
"both","Const",2,20.3076712328767,31.979852739726,0,0.728998467460778,1784.975,3650.125
"krill","Const",2,20.7797945205479,31.9817671232877,0,0.728998467460778,0,0
"both","Lognorm",2,19.3820547945205,34.4519965753425,0,1.92057160070201,8499.1875,25557.5
"krill","Lognorm",2,19.6748630136986,34.4693869863014,0,1.92057160070201,0,0
"both","Const",3,15.4900684931507,39.3242089041096,5742.06253424658,0.728998467460778,1735.4,4631.775
"krill","Const",3,16.3622602739726,39.3406678082192,6225.63465753425,0.728998467460778,0,0
"both","Lognorm",3,99.7242465753425,27.2754623287671,46241.7814383562,1.42727256342596,10741.475,9571.55
"krill","Lognorm",3,106.108356164384,27.5358732876712,48890.8448630137,1.42727256342596,0,0
"both","Const",4,116.408356164384,24.8610719178082,43007.9673972603,0.728998467460778,2195.1375,3402.1
"krill","Const",4,125.396438356164,24.8863801369863,46055.151369863,0.728998467460778,0,0
"both","Lognorm",4,193.539178082192,26.1355171232877,125270.65,0.585307616711351,9327.2875,432.325
"krill","Lognorm",4,203.713424657534,26.374845890411,132806.891164384,0.585307616711351,0,0
"both","Const",5,175.477534246575,27.408897260274,113769.968972603,0.728998467460778,2094.1,3784.675
"krill","Const",5,187.345547945205,27.5224383561644,120598.58390411,0.728998467460778,0,0
"both","Lognorm",5,199.774863013699,30.7157910958904,154316.002534247,1.18508731679683,5362,19168.525
"krill","Lognorm",5,209.500616438356,30.9914794520548,166217.493356164,1.18508731679683,0,0
"both","Const",6,209.902602739726,30.2280205479452,221533.859589041,0.728998467460778,2205.1125,3783.75
"krill","Const",6,232.77198630137,29.7633253424658,238306.390821918,0.728998467460778,0,0
"both","Lognorm",6,690.683698630137,26.4599623287671,434048.53869863,0.967858191196935,5932.775,904.25
"krill","Lognorm",6,836.883835616438,26.1893630136986,494191.633561644,0.967858191196935,0,0
"both","Const",7,705.404589041096,25.0375582191781,436118.156027397,0.728998467460778,2226.8,3810.3
"krill","Const",7,778.816438356164,25.0134246575342,471997.387191781,0.728998467460778,0,0
"both","Lognorm",7,1582.51397260274,24.0500239726027,997644.958082192,0.822000656461411,3195.225,7527.175
"krill","Lognorm",7,1754.50246575342,24.6678219178082,1121705.52986301,0.822000656461411,0,0
"both","Const",8,1359.06746575342,26.0915787671233,942749.91260274,0.728998467460778,2284.0625,2313.45
"krill","Const",8,1474.05890410959,26.2389006849315,1018612.48363014,0.728998467460778,0,0
"both","Lognorm",8,2027.81315068493,29.2802568493151,1867280.03986301,0.83135574721376,3026.7125,2975.225
"krill","Lognorm",8,2185.47746575342,29.7298938356164,2078914.97767123,0.83135574721376,0,0
"both","Const",9,2075.66876712329,27.4888904109589,1833729.5659589,0.728998467460778,1982.2,2865.425
"krill","Const",9,2293.81767123288,27.3281506849315,2009823.38767123,0.728998467460778,0,0
"both","Lognorm",9,6565.73821917808,22.7346609589041,4346052.52575342,0.6129939805071,2830.3,850.425
"krill","Lognorm",9,7424.82095890411,22.8232636986301,4802021.80143836,0.6129939805071,0,0
"both","Const",10,4819.26547945205,25.4754794520548,3500990.71910959,0.728998467460778,2104.025,2485.775
"krill","Const",10,5308.74828767123,25.4668150684931,3840764.32054795,0.728998467460778,0,0
"both","Lognorm",10,12047.6578767123,24.6281061643836,7755301.08835616,1.03957936556824,2061.425,9576.225
"krill","Lognorm",10,13494.4995205479,24.556595890411,8743686.95356164,1.03957936556824,0,0
"both","Const",11,9985.45253424657,25.1634212328767,7113571.62726027,0.728998467460778,2017,2648
"krill","Const",11,10898.0118493151,25.1843390410959,7795909.54260274,0.728998467460778,0,0
"both","Lognorm",11,18148.3082876712,27.8639794520548,14982835.7480137,0.893352592590586,1995.675,863.425
"krill","Lognorm",11,19910.7563013699,27.9176130136986,16670423.3824658,0.893352592590586,0,0
"both","Const",12,17264.0663013699,25.4531164383562,13608863.6265753,0.728998467460778,1922.65,2300.25
"krill","Const",12,19017.2829452055,25.2991506849315,14932944.3387671,0.728998467460778,0,0
"both","Lognorm",12,48052.7715068493,22.0395308219178,31718249.4677397,0.620912094467738,1625.8625,775.65
"krill","Lognorm",12,52822.9830821918,21.872904109589,34832593.7773288,0.620912094467738,0,0
"both","Const",13,33446.9340410959,24.193051369863,24219047.5030137,0.728998467460778,1872.95,1342
"krill","Const",13,36681.0328082192,24.0186506849315,26401491.8839726,0.728998467460778,0,0
"both","Lognorm",13,75080.7130136986,22.0018767123288,49544349.9382877,0.791158016098776,1254.875,1017.25
"krill","Lognorm",13,81056.0170547945,21.8175582191781,52560423.3989726,0.791158016098776,0,0
"both","Const",14,66321.7273287671,22.0349212328767,46196725.4639726,0.728998467460778,1783.075,912.15
"krill","Const",14,71112.732739726,21.8875136986301,49299169.7815753,0.728998467460778,0,0
"both","Lognorm",14,91166.0913013699,24.103602739726,67112770.9073973,0.772499524234144,1260.2,686.95
"krill","Lognorm",14,93652.7695205479,24.3506575342466,70061419.9878767,0.772499524234144,0,0
"both","Const",15,97196.8256849315,22.0214623287671,64143478.1599315,0.728998467460778,1666.375,625.85
"krill","Const",15,101961.043424658,21.950801369863,67390018.6833562,0.728998467460778,0,0
"both","Lognorm",15,93326.002260274,25.0251061643836,77234452.0835616,0.727531699744406,1114.6,729.95
"krill","Lognorm",15,84292.6071917808,26.3922636986301,74126358.4150685,0.727531699744406,0,0
"both","Const",16,107160.02130137,23.5753630136986,77893060.3430822,0.728998467460778,1526.6375,335.175
"krill","Const",16,106488.891369863,24.0102089041096,78362710.4871233,0.728998467460778,0,0
"both","Lognorm",16,88249.3363013699,25.5508801369863,83216715.5459589,0.598887305517125,1074.05,453.6
"krill","Lognorm",16,78701.9610273973,25.806,81435696.7265068,0.598887305517125,0,0
"both","Const",17,93292.0804109589,26.2499417808219,80122863.1763014,0.728998467460778,1352.2,573.95
"krill","Const",17,89920.1571232877,26.5941506849315,80431485.7195206,0.728998467460778,0,0
"both","Lognorm",17,71924.3829452055,26.1899794520548,84143798.1857534,1.04741893727877,989.125,4406.7
"krill","Lognorm",17,67251.3525342466,26.1835684931507,82756898.334452,1.04741893727877,0,0
"both","Const",18,71178.8370547945,28.3107876712329,80698165.6149315,0.728998467460778,1262.5625,703.975
"krill","Const",18,68409.0153424657,28.5394109589041,81045414.4210274,0.728998467460778,0,0
"both","Lognorm",18,46696.2307534247,33.3198698630137,84164627.325,0.733239422129353,1015.425,310.425
"krill","Lognorm",18,42139.1488356164,33.6837534246575,82779540.9999315,0.733239422129353,0,0
"both","Const",19,50463.9441780822,30.4974554794521,80811449.1330137,0.728998467460778,1161.75,818.575
"krill","Const",19,47852.6789726027,30.8311095890411,81145616.5406164,0.728998467460778,0,0
"both","Lognorm",19,94997.322739726,20.5382123287671,111877830.066712,0.562967577926387,928.95,635.7
"krill","Lognorm",19,98317.8480136986,19.532,113638520.759589,0.562967577926387,0,0
"both","Const",20,28023.065,34.1586849315068,80836360.0215753,0.728998467460778,1131.4375,1342.9
"krill","Const",20,25371.2530821918,34.6284863013699,81183557.7431507,0.728998467460778,0,0
"both","Lognorm",20,101725.262260274,24.0377123287671,114195229.532055,0.784606823736902,906.925,1327.7
"krill","Lognorm",20,108155.973356164,23.105345890411,116060225.614658,0.784606823736902,0,0
